time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/learning_rate,train/entropy_loss,rollout/ep_rew_mean,train/loss,train/clip_fraction,train/value_loss,train/approx_kl,train/clip_range,train/explained_variance,rollout/ep_len_mean,train/n_updates,train/policy_gradient_loss,eval/mean_reward,eval/mean_ep_length
343040,394,870,670,0.00025,-0.594676336273551,3.6893999576568604,-0.03149321675300598,0.150390625,0.0011186102537976694,0.02786924,0.2,0.9974321722984314,116.98,2676,-0.007831909984815866,,
343552,394,871,671,0.00025,-0.6477779150009155,3.6893999576568604,0.02742912247776985,0.20556640625,0.010886485935770907,0.057911083,0.2,0.944645881652832,116.98,2680,-0.011958453222177923,,
344064,394,872,672,0.00025,-0.5758799025788903,3.6898999214172363,-0.03999904915690422,0.13134765625,0.0019135907568852417,0.034554534,0.2,0.9910232424736023,117.16,2684,-0.015592405339702964,,
344576,394,874,673,0.00025,-0.5776311345398426,3.6900997161865234,-0.015604309737682343,0.1357421875,0.001981970024644397,0.03000037,0.2,0.9938228726387024,117.2,2688,-0.014352644386235625,,
345088,394,875,674,0.00025,-0.5889477515593171,3.6900997161865234,-0.03945961222052574,0.1513671875,0.001449102783226408,0.030120924,0.2,0.994723916053772,117.2,2692,-0.010934651072602719,,
345600,394,876,675,0.00025,-0.6049114223569632,3.6902999877929688,-0.03149685263633728,0.1318359375,0.000836654477097909,0.02841385,0.2,0.9986972212791443,117.2,2696,-0.013554027711506933,,
346112,394,877,676,0.00025,-0.6158743463456631,3.6905996799468994,-0.03611520305275917,0.16796875,0.0013999151069583604,0.03092761,0.2,0.9973471164703369,117.1,2700,-0.020459688472328708,,
346624,394,879,677,0.00025,-0.620727177709341,3.6918997764587402,-0.04041405767202377,0.14501953125,0.0008218128450607765,0.028747052,0.2,0.998297929763794,117.14,2704,-0.016730916453525424,,
347136,394,880,678,0.00025,-0.6453036610037088,3.6902999877929688,-0.029212797060608864,0.12060546875,0.0014417071470234077,0.022639185,0.2,0.9961929321289062,117.14,2708,-0.016502716520335525,,
347648,394,881,679,0.00025,-0.6337832733988762,3.688800096511841,-0.06003862991929054,0.1357421875,0.001156722269115562,0.024380315,0.2,0.9952470660209656,117.2,2712,-0.021514000953175128,,
348160,394,882,680,0.00025,-0.6518371347337961,3.6884002685546875,-0.03962007910013199,0.14208984375,0.000855074583341775,0.027637327,0.2,0.9969466924667358,117.84,2716,-0.013901108177378774,,
